0,1,2,song_start,same_song
Drifting at 432 Hz - Unicorn Heads,"[-0.03992645 -0.04201076 -0.04073383 ...  0.08958995  0.08454295
  0.07185999]",154,148,148
Drifting at 432 Hz - Unicorn Heads,[0.03372061 0.04252125 0.04844762 ... 0.00312073 0.01468727 0.02089636],155,148,148
Drifting at 432 Hz - Unicorn Heads,"[-0.00116449  0.0077587   0.01336201 ...  0.05401484  0.05512893
  0.04430773]",156,148,148
Drifting at 432 Hz - Unicorn Heads,"[ 0.01592049  0.02397191  0.02490241 ... -0.03410804 -0.01923496
 -0.00584402]",157,148,148
Drifting at 432 Hz - Unicorn Heads,"[-0.00066762  0.00673269  0.01278254 ...  0.03487657  0.03270358
  0.02654145]",158,148,148
Drifting at 432 Hz - Unicorn Heads,[0.01242273 0.01699081 0.01925821 ... 0.03767535 0.03317166 0.02764562],159,148,148
Drifting at 432 Hz - Unicorn Heads,"[-0.03187888 -0.03659322 -0.04105582 ...  0.03823676  0.03870072
  0.0353491 ]",160,148,148
Drifting at 432 Hz - Unicorn Heads,[0.00907127 0.007248   0.00373076 ... 0.05209878 0.04189859 0.03131484],161,148,148
Drifting at 432 Hz - Unicorn Heads,[0.0277122  0.03006185 0.03158664 ... 0.04700059 0.04465789 0.04165649],162,148,148
Drifting at 432 Hz - Unicorn Heads,[0.01844198 0.02275861 0.02657496 ... 0.         0.         0.        ],163,148,148
Drifting at 432 Hz - Unicorn Heads,"[ 0.05079535  0.06047145  0.06823933 ... -0.01104409 -0.00522072
  0.00169269]",164,148,148
Drifting at 432 Hz - Unicorn Heads,"[ 0.00822647  0.01260834  0.01832903 ... -0.0269323  -0.02525381
 -0.02193807]",165,148,148
Drifting at 432 Hz - Unicorn Heads,"[-0.00814397 -0.00304876  0.00337896 ... -0.10769668 -0.10222542
 -0.09506468]",166,148,148
Drifting at 432 Hz - Unicorn Heads,"[-0.05730522 -0.05337021 -0.0482734  ... -0.02602037 -0.02394944
 -0.02126873]",167,148,148
Drifting at 432 Hz - Unicorn Heads,"[-0.01537773 -0.0174759  -0.01918825 ... -0.07225037 -0.06984247
 -0.06537405]",168,148,148
Drifting at 432 Hz - Unicorn Heads,"[-0.02473017 -0.03260133 -0.0388651  ... -0.05126345 -0.05802319
 -0.06068056]",169,148,148
Drifting at 432 Hz - Unicorn Heads,"[-0.01046927 -0.01825653 -0.02273616 ...  0.06747415  0.05139514
  0.03253003]",170,148,148
Duh Fuse - French Fuse,"[ 2.1071851e-18 -1.6098423e-10 -3.3088771e-10 ... -1.5845819e-01
 -1.7820859e-01 -1.6276950e-01]",171,171,171
